State,State_FIPS,Year,Total_Pop_25_Plus,Edu_12th_No_Diploma,Edu_HS_GED_or_Equiv,Edu_Some_College_Less_1_Year,Edu_Some_College_1_Plus_Year,Edu_Associates_Degree,Edu_Bachelors_Degree,Edu_Masters_Degree,Edu_Professional_Degree,Edu_Doctorate_Degree,HS_Grad_or_Higher_Count,HS_Grad_or_Higher_Pct,Avg Annual Total Civilian Non-Institutional Population in State/Area,Avg Annual Total Civilian Labor Force in State/Area,Avg Annual Total Employment in State/Area,Avg Annual Total Unemployment in State/Area,Annual Percent (%) of Unemployed in State/Area,Annual Percent (%) of Labor Force Population,Annual Percent (%) of Total Employment in State/Area
Washington,53,2018,5215063,86710,1133822,386584,810619,533450,1187508,524199,115719,85678,4777579,91.61,5944441,3814711,3645745,168966,4.43,64.17,61.33
West Virginia,54,2018,1280781,14639,508339,79975,166526,96253,163614,76634,18825,14030,1124196,87.77,1458977,793402,752455,40947,5.16,54.38,51.57
Illinois,17,2019,8694694,160662,2255611,564910,1172506,710058,1886240,892226,206788,123718,7812057,89.85,10125894,6549183,6289253,259930,3.97,64.68,62.11
Georgia,13,2019,7080222,120783,1939945,405768,1008786,568130,1410395,640949,152402,97822,6224197,87.91,8203810,5161136,4976457,184679,3.58,62.91,60.66
Idaho,16,2019,1170997,20048,305274,99106,205472,124584,220189,81863,19503,15100,1071091,91.47,1381645,888571,863098,25473,2.87,64.31,62.47
Hawaii,15,2019,996668,12954,273421,60763,145201,106096,219979,77835,22345,15050,920690,92.38,1124354,686226,668923,17303,2.52,61.03,59.49
Indiana,18,2019,4502015,70233,1526825,308841,587813,397627,777771,318939,65304,50812,4033932,89.6,5259231,3403377,3291192,112186,3.3,64.71,62.58
Iowa,19,2019,2123004,24214,658822,149482,284388,251578,420199,141152,33335,27567,1966523,92.63,2487544,1743109,1696719,46390,2.66,70.07,68.21
Kansas,20,2019,1918081,23160,504035,148250,282299,173251,414851,176966,37264,23408,1760324,91.78,2240796,1504586,1455368,49218,3.27,67.15,64.95
Kentucky,21,2019,3048442,45879,1012643,202203,416832,260188,453040,221989,57552,33342,2657789,87.19,3515061,2068734,1983691,85042,4.11,58.85,56.43
Louisiana,22,2019,3140201,53054,1066026,178661,468085,202310,503947,194070,55742,30516,2699357,85.96,3584852,2105341,2008021,97320,4.62,58.73,56.01
Maine,23,2019,991152,10985,311108,61146,123577,99008,205722,87322,21060,14895,923838,93.21,1119828,697941,677491,20450,2.93,62.33,60.5
Maryland,24,2019,4183858,64959,1030636,244221,509326,287293,911781,553133,131090,114226,3781706,90.39,4846181,3334178,3221353,112826,3.38,68.8,66.47
Massachusetts,25,2019,4850576,67407,1158066,229385,499631,360810,1197208,692415,149956,142164,4429635,91.32,5725399,3841465,3725415,116050,3.02,67.1,65.07
Michigan,26,2019,6894627,110334,2005981,515815,1056955,648794,1252685,606220,126447,85443,6298340,91.35,8049908,4976480,4773677,202803,4.08,61.82,59.3
Minnesota,27,2019,3847212,47747,939997,251001,534720,442578,942830,350476,85082,54838,3601522,93.61,4453257,3108933,3008068,100865,3.24,69.81,67.55
Connecticut,9,2019,2496420,35146,668361,132388,278584,190700,549166,323247,79580,42555,2264581,90.71,2913268,1938885,1869062,69823,3.6,66.55,64.16
Florida,12,2019,15484502,365236,4396122,986530,2014851,1538727,2982643,1235227,353649,182118,13689867,88.41,17273996,10287044,9952867,334177,3.25,59.55,57.62
Alabama,1,2019,3360058,66871,1039241,213757,486716,301914,547975,246772,52179,38431,2926985,87.11,3935788,2272406,2200013,72393,3.19,57.74,55.9
Alaska,2,2019,484058,4231,139156,38804,85457,43394,89583,38960,10924,6690,452968,93.58,544905,353194,333436,19757,5.59,64.82,61.19
Arizona,4,2019,4944540,112634,1170685,384038,852807,431854,931038,404500,89342,67278,4331542,87.6,5537789,3431228,3266062,165167,4.81,61.96,58.98
Arkansas,5,2019,2036456,35704,710306,137073,306979,151738,307185,121947,27975,18260,1781463,87.48,2330750,1354617,1307249,47368,3.5,58.12,56.09
California,6,2019,26937872,705383,5546711,1523559,4018813,2118792,5889724,2400918,672307,465535,22636359,84.03,31056874,19415066,18620302,794764,4.09,62.51,59.96
Colorado,8,2019,3974943,51890,836590,246503,559067,334961,1057825,471937,92258,73582,3672723,92.4,4519715,3105967,3023020,82947,2.67,68.72,66.89
Delaware,10,2019,687311,11108,207642,42800,85263,56885,134287,69023,13269,11620,620789,90.32,782769,484608,467142,17466,3.6,61.91,59.68
District of Columbia,11,2019,505145,6547,79881,16367,49378,16922,129825,107612,44240,19752,463977,91.85,563160,400066,378123,21943,5.48,71.04,67.14
Mississippi,28,2019,1979664,33112,598609,110712,330227,207448,270712,124266,26929,19844,1688747,85.3,2280145,1278502,1208041,70461,5.51,56.07,52.98
Missouri,29,2019,4206162,66114,1308859,297889,602597,333721,775808,361205,78328,55940,3814347,90.68,4812110,3074321,2975794,98528,3.2,63.89,61.84
Montana,30,2019,741950,7863,211079,50303,119338,69400,171309,52425,14847,10567,699268,94.25,854621,543886,524816,19070,3.51,63.64,61.41
Nebraska,31,2019,1271770,18643,326389,94746,185587,141189,277159,104377,24092,16959,1170498,92.04,1493995,1051632,1018812,32820,3.12,70.39,68.19
Nevada,32,2019,2136466,65630,593417,157547,368199,187469,355837,132910,35939,24233,1855551,86.85,2409356,1546405,1482810,63595,4.11,64.18,61.54
New Hampshire,33,2019,979750,11331,275105,58054,116024,96658,224636,109702,20508,13391,914078,93.3,1129954,780446,760442,20004,2.56,69.07,67.3
New Jersey,34,2019,6191229,107749,1666321,300667,673873,398984,1555781,720869,167040,108075,5591610,90.32,7351409,4686487,4524730,161757,3.45,63.75,61.55
New Mexico,35,2019,1425988,25818,376390,88210,235931,129531,221281,119825,25708,27784,1224660,85.88,1645584,956159,908719,47440,4.96,58.1,55.22
New York,36,2019,13664734,290505,3524192,640783,1434723,1204588,2898440,1633516,421631,212631,11970504,87.6,16238937,9857238,9477584,379655,3.85,60.7,58.36
North Carolina,37,2019,7187077,98128,1839042,435870,1044174,727882,1471420,615828,131379,102558,6368153,88.61,8128596,4993416,4800532,192884,3.86,61.43,59.06
North Dakota,38,2019,504375,4745,134432,33313,79498,70716,108527,31714,6772,6384,471356,93.45,592785,413708,404745,8963,2.17,69.79,68.28
Ohio,39,2019,8049805,127050,2627758,546790,1075224,702601,1464945,660656,139616,91368,7308958,90.8,9298346,5878787,5633325,245462,4.18,63.22,60.58
Oklahoma,40,2019,2619244,47971,825284,186398,409891,207896,447888,166623,43315,28683,2315978,88.42,3014372,1839961,1782357,57604,3.13,61.04,59.13
Oregon,41,2019,2988118,50872,687243,234012,507046,269102,627911,278908,67715,57782,2729719,91.35,3402123,2094472,2016472,78000,3.72,61.56,59.27
Pennsylvania,42,2019,9028036,134035,3103046,495732,924330,775694,1761627,827626,189863,138286,8216204,91.01,10411566,6572481,6288106,284375,4.33,63.13,60.4
Rhode Island,44,2019,746952,11044,212282,42163,87821,64204,156087,72512,18950,12726,666745,89.26,891912,574340,554048,20292,3.53,64.39,62.12
South Carolina,45,2019,3563204,63213,1015260,218906,506252,352549,656496,302770,56354,38939,3147526,88.33,4002601,2324736,2260038,64698,2.78,58.08,56.46
South Dakota,46,2019,588029,8112,176644,36972,83504,69831,121231,38132,8827,6594,541735,92.13,669499,464300,451366,12934,2.79,69.35,67.42
Tennessee,47,2019,4693962,87012,1480753,298703,654579,348886,845100,351914,82800,68410,4131145,88.01,5397378,3335453,3223988,111465,3.34,61.8,59.73
Texas,48,2019,18772550,329483,4734422,1149880,2826727,1402600,3750797,1484968,318581,222187,15890162,84.65,21776098,13923523,13431852,491671,3.53,63.94,61.68
Vermont,50,2019,445558,4903,129254,22935,51533,38706,101015,52196,11739,7322,414700,93.07,532459,353399,345980,7420,2.1,66.37,64.98
Utah,49,2019,1911592,33526,442206,143885,343003,184777,448109,156469,32681,27402,1778532,93.04,2365223,1618799,1577699,41100,2.54,68.44,66.7
Virginia,51,2019,5872757,87723,1387610,354535,752723,468107,1312800,743676,153224,115370,5288045,90.04,6718931,4414064,4292402,121662,2.76,65.7,63.89
Washington,53,2019,5290324,78989,1167347,395512,804235,527524,1204728,538939,122253,89712,4850250,91.68,6029945,3933806,3767333,166472,4.23,65.24,62.48
West Virginia,54,2019,1281086,16566,515431,76158,153719,101267,161686,80380,15831,11809,1116281,87.14,1452860,795462,756184,39278,4.94,54.75,52.05
Wisconsin,55,2019,4015285,58409,1223392,262972,541299,438381,829878,307952,71262,49287,3724423,92.76,4670190,3111800,3012775,99025,3.18,66.63,64.51
Wyoming,56,2019,389847,4804,117501,31190,62315,44034,73183,29454,6035,4885,368597,94.55,447440,293375,282455,10920,3.72,65.57,63.13
Alabama,1,2021,3451208,65666,1079285,215235,490427,303028,572276,271514,57866,45110,3034741,87.93,3989929,2259433,2183167,76267,3.38,56.63,54.72
Arizona,4,2021,4980297,115131,1168057,380056,800435,467305,985673,455187,97958,76263,4430934,88.97,5755794,3531442,3352556,178887,5.07,61.35,58.25
Arkansas,5,2021,2037763,34672,695062,137609,297626,161542,324137,140186,28936,21775,1806873,88.67,2361849,1339936,1285530,54406,4.06,56.73,54.43
California,6,2021,26909869,771280,5578997,1637010,3650891,2120275,5958030,2573469,695127,511191,22724990,84.45,31090367,18977110,17587983,1389127,7.32,61.04,56.57
Colorado,8,2021,4044182,61487,814373,239829,553609,334157,1107309,500621,105810,82500,3738208,92.43,4635455,3158891,2986563,172328,5.46,68.15,64.43
Connecticut,9,2021,2534376,42794,646776,138850,267818,188070,587690,348217,83078,48686,2309185,91.11,2936714,1855478,1739109,116369,6.27,63.18,59.22
Delaware,10,2021,711104,11541,201366,41763,87120,66097,146295,80771,14294,11932,649638,91.36,808478,494081,466885,27195,5.5,61.11,57.75
District of Columbia,11,2021,478774,4128,70925,14618,41603,15235,120771,109362,48117,23602,444233,92.79,546920,378227,352371,25856,6.84,69.16,64.43
Florida,12,2021,15762122,355178,4363466,1023966,1956797,1582504,3248221,1368496,384303,225826,14153579,89.79,17776346,10355114,9873242,481873,4.65,58.25,55.54
Georgia,13,2021,7234271,138332,1930376,419053,972319,609570,1514014,699356,173470,118236,6436394,88.97,8397878,5181106,4978620,202486,3.91,61.7,59.28
Hawaii,15,2021,1021687,17989,269095,64921,141970,112809,226849,91083,27139,15610,949476,92.93,1124810,670154,629728,40426,6.03,59.58,55.99
Idaho,16,2021,1257566,25033,338282,92940,203643,126524,253762,94108,23862,14532,1147653,91.26,1470529,925554,893306,32248,3.48,62.94,60.75
Illinois,17,2021,8730697,159035,2194993,589065,1118720,727336,1932282,961986,213218,135093,7872693,90.17,10082638,6369405,5981552,387852,6.09,63.17,59.33
Indiana,18,2021,4559631,79261,1517996,314335,569371,414408,843069,343526,74471,55721,4132897,90.64,5331345,3356324,3225731,130593,3.89,62.95,60.51
Iowa,19,2021,2137261,25038,646672,161077,278648,255456,441878,145253,34653,30958,1994595,93.32,2510670,1690788,1626600,64188,3.8,67.34,64.79
Kansas,20,2021,1942133,28734,493645,165082,270957,167575,427464,187756,44232,28000,1784711,91.89,2261148,1501097,1451446,49651,3.31,66.39,64.19
Kentucky,21,2021,3077867,46871,1007954,203710,390361,275708,488546,248867,56988,36013,2708147,87.99,3534294,2026867,1937079,89788,4.43,57.35,54.81
Louisiana,22,2021,3117186,59256,1023442,178427,464414,211237,523475,205307,58391,37196,2701889,86.68,3580022,2074420,1958731,115689,5.58,57.94,54.71
Maine,23,2021,1015078,11047,300595,60656,125830,107147,224987,98761,22502,19055,959533,94.53,1141890,684939,653346,31593,4.61,59.98,57.22
Maryland,24,2021,4273260,79627,1019047,257787,502564,294842,956533,606779,138912,115978,3892442,91.09,4884468,3173827,3005606,168221,5.3,64.98,61.53
Massachusetts,25,2021,4934755,75019,1124134,242588,451850,376568,1250748,736774,156628,156273,4495563,91.1,5745468,3743624,3536384,207240,5.54,65.16,61.55
Michigan,26,2021,6971895,119257,2003265,530359,989480,680323,1338162,649768,130768,89472,6411597,91.96,8066407,4781337,4501760,279577,5.85,59.27,55.81
Minnesota,27,2021,3898742,48026,909518,263426,520783,459742,993883,367967,93091,61485,3669895,94.13,4503833,3039750,2924662,115088,3.79,67.49,64.94
Mississippi,28,2021,1968167,38108,586187,124967,303518,199843,303656,131795,29196,23016,1702178,86.49,2280572,1256008,1187016,68993,5.49,55.07,52.05
Missouri,29,2021,4226634,67210,1303894,302328,573547,350837,823215,382906,79995,54527,3871249,91.59,4862659,3050293,2925591,124702,4.09,62.73,60.16
Montana,30,2021,766758,12098,205527,59044,122627,69432,171377,64867,17438,13138,723450,94.35,883626,550618,531971,18647,3.39,62.31,60.2
Nebraska,31,2021,1292536,17892,325200,100264,180754,139742,286510,110814,27169,20768,1191221,92.16,1511554,1049583,1021411,28172,2.68,69.44,67.57
Nevada,32,2021,2192826,63486,597385,169818,342708,196636,393208,151284,37186,22948,1911173,87.16,2497185,1499889,1395808,104081,6.94,60.06,55.9
New Hampshire,33,2021,1008318,10550,267904,64794,114463,99262,247356,121904,20062,16493,952238,94.44,1150014,756856,731136,25720,3.4,65.81,63.58
New Jersey,34,2021,6474427,123447,1649422,346790,649632,454004,1664353,829918,182026,114349,5890494,90.98,7411284,4666149,4357040,309110,6.62,62.96,58.79
New Mexico,35,2021,1450549,24699,372497,97614,231178,131736,231745,141079,30534,32572,1268955,87.48,1670868,943441,876751,66689,7.07,56.46,52.47
New York,36,2021,13987094,336642,3409426,694070,1387569,1238762,3105839,1784939,449463,243446,12313514,88.03,16078040,9560833,8889563,671269,7.02,59.47,55.29
North Carolina,37,2021,7245632,99828,1802594,445998,990945,729951,1573681,701259,143710,111007,6499145,89.7,8339111,4955083,4713452,241631,4.88,59.42,56.52
North Dakota,38,2021,506739,6228,133316,34626,72172,73471,113314,33528,7136,6869,474432,93.62,596255,408958,396393,12565,3.07,68.59,66.48
Ohio,39,2021,8117973,128382,2664759,558656,1002891,727443,1536624,715694,141585,100007,7447659,91.74,9332099,5729595,5435366,294230,5.14,61.4,58.24
Oklahoma,40,2021,2639889,49383,811661,200810,378105,214116,483168,180357,40287,33371,2341875,88.71,3064929,1860991,1785960,75032,4.03,60.72,58.27
Oregon,41,2021,3030635,53206,664591,248274,498671,271776,680306,291933,71611,57211,2784373,91.87,3463707,2148670,2036668,112002,5.21,62.03,58.8
Pennsylvania,42,2021,9161945,135840,3047979,492704,901567,811426,1887722,914403,205288,157572,8418661,91.89,10496024,6448909,6059661,389248,6.04,61.44,57.73
Rhode Island,44,2021,773464,13748,214431,44990,85506,62195,161594,86087,18738,15907,689448,89.14,899521,571625,540112,31513,5.51,63.55,60.04
South Carolina,45,2021,3598398,66359,1026970,220799,472792,369204,704740,321187,65540,43169,3224401,89.61,4124126,2354764,2261336,93428,3.97,57.1,54.83
South Dakota,46,2021,590377,9442,172971,35491,83012,70944,127258,40741,11934,7013,549364,93.05,683982,469680,457246,12435,2.65,68.67,66.85
Tennessee,47,2021,4814533,81981,1502435,320462,656777,373330,924404,380364,91032,71681,4320485,89.74,5523362,3325713,3176236,149477,4.49,60.21,57.51
Texas,48,2021,19224688,405152,4723476,1258124,2618254,1449493,4077821,1664046,359084,265486,16415784,85.39,22534721,14313774,13505969,807806,5.64,63.52,59.93
Utah,49,2021,2010727,34230,445010,163888,333288,191196,484882,187250,38994,28971,1873479,93.17,2486143,1687781,1641518,46263,2.74,67.89,66.03
Vermont,50,2021,462705,4952,121159,23882,49026,37790,120373,60950,13798,10500,437478,94.55,539890,335832,323416,12416,3.7,62.2,59.9
Virginia,51,2021,5942672,83017,1420599,356524,712717,456400,1394875,803551,168793,117241,5430700,91.38,6803773,4331118,4162950,168168,3.88,63.66,61.19
Washington,53,2021,5401149,88438,1168676,392168,777607,544731,1287465,599751,120762,96684,4987844,92.35,6164797,3899297,3695896,203402,5.22,63.25,59.95
West Virginia,54,2021,1265439,19418,495311,76049,146702,100721,179376,90559,21830,13423,1123971,88.82,1442066,779025,739225,39800,5.11,54.02,51.26
Wisconsin,55,2021,4076339,62908,1222356,273525,520791,461115,876467,322544,71708,55759,3804265,93.33,4716770,3100854,2981770,119084,3.84,65.74,63.22
Wyoming,56,2021,395348,5691,107814,35005,62610,48945,73255,30871,6773,4719,369992,93.59,454147,289154,275786,13368,4.62,63.67,60.73
Alaska,2,2021,485779,7229,135473,34890,83360,40276,101422,39120,12444,6304,453289,93.31,545826,353184,330492,22692,6.42,64.71,60.55
Alabama,1,2022,3474924,68302,1057155,228841,487303,311537,609316,286677,61890,42908,3085627,88.8,4013691,2286026,2226687,59339,2.6,56.96,55.48
Alaska,2,2022,489218,8169,142455,33863,82215,48370,94168,39551,9379,6548,456549,93.32,546834,356762,342390,14373,4.03,65.24,62.61
Arizona,4,2022,5053656,115852,1202946,375978,784958,475387,1032052,463372,97473,73242,4505408,89.15,5859772,3613857,3475798,138059,3.82,61.67,59.32
Arkansas,5,2022,2057624,34961,705670,146309,291767,167634,323961,144054,30805,23987,1834187,89.14,2379534,1369273,1323924,45350,3.31,57.54,55.64
California,6,2022,26866773,738320,5506855,1610206,3582648,2115440,6056169,2643964,718109,517699,22751090,84.68,31093752,19241972,18437956,804016,4.18,61.88,59.3
Colorado,8,2022,4084004,62130,823109,244723,517456,339016,1177891,508701,105518,83022,3799436,93.03,4680613,3199970,3103401,96569,3.02,68.37,66.3
Connecticut,9,2022,2545188,40900,660047,143069,262624,197009,584999,345966,85582,49857,2329153,91.51,2947130,1932950,1852627,80323,4.16,65.59,62.86
Delaware,10,2022,724041,11416,204385,48071,87620,61657,151894,81198,16336,14956,666117,92.0,821383,496635,474325,22310,4.49,60.46,57.75
District of Columbia,11,2022,479231,5579,64543,15868,39217,15974,126678,115091,47094,24411,448876,93.67,549685,388641,370661,17980,4.63,70.7,67.43
Florida,12,2022,16104410,367680,4363609,1065936,1889702,1643815,3445343,1430806,410107,232162,14481480,89.92,18134062,10759126,10446709,312417,2.9,59.33,57.61
Georgia,13,2022,7332980,137419,1979843,448261,952853,638973,1519625,733360,173021,118108,6564044,89.51,8513926,5233050,5074129,158921,3.04,61.46,59.6
Hawaii,15,2022,1023843,18188,273910,64597,135942,113948,226124,90504,29159,16917,951101,92.9,1123667,676298,652820,23478,3.47,60.19,58.1
Idaho,16,2022,1280178,21389,333105,102880,202762,125979,274409,99915,22131,16713,1177894,92.01,1506615,950523,925151,25372,2.67,63.09,61.41
Illinois,17,2022,8692839,169212,2187110,572448,1091586,731898,1952990,968013,213624,140791,7858460,90.4,10035838,6472602,6178094,294508,4.55,64.49,61.56
Indiana,18,2022,4584460,88704,1472890,331007,549891,424272,869217,357804,72718,57273,4135072,90.2,5357736,3404751,3302895,101856,2.99,63.55,61.65
Iowa,19,2022,2159511,29574,637844,154829,269712,258299,463740,167964,38145,27957,2018490,93.47,2519424,1716902,1669994,46907,2.73,68.15,66.28
Kansas,20,2022,1944891,27315,491928,158286,271166,176787,426910,194772,40463,30398,1790710,92.07,2267589,1504625,1464725,39900,2.65,66.35,64.59
Kentucky,21,2022,3091499,52084,1002671,226878,388240,272315,508620,253773,61733,37210,2751440,89.0,3541106,2049196,1969047,80150,3.91,57.87,55.61
Louisiana,22,2022,3096121,59896,1006184,199127,435982,221439,525044,218915,60815,35332,2702838,87.3,3560268,2087137,2011419,75718,3.63,58.62,56.5
Maine,23,2022,1030141,10972,310778,58519,124350,109768,229764,99149,25435,17210,974973,94.64,1152551,675072,655216,19856,2.94,58.57,56.85
Maryland,24,2022,4286216,70794,1009588,261327,473804,294875,996167,617106,136078,129354,3918299,91.42,4887139,3170882,3068035,102847,3.24,64.88,62.78
Massachusetts,25,2022,4947384,79647,1136350,257805,448342,368426,1252187,735346,152320,167856,4518632,91.33,5750958,3744961,3603935,141026,3.77,65.12,62.67
Michigan,26,2022,6978952,125942,1962345,539210,991922,673901,1361139,651795,134069,94849,6409230,91.84,8079178,4836170,4633371,202799,4.19,59.86,57.35
Minnesota,27,2022,3918565,55114,917132,266686,501208,465947,995083,378864,94114,65650,3684684,94.03,4519077,3077448,2995633,81815,2.66,68.1,66.29
Mississippi,28,2022,1963322,33652,604163,128315,291255,209877,297480,136302,28384,24020,1719796,87.6,2279804,1251306,1202484,48822,3.9,54.89,52.75
Missouri,29,2022,4236010,65541,1275978,319714,568969,349715,835865,381114,86312,60726,3878393,91.56,4882274,3060421,2983990,76431,2.5,62.68,61.12
Montana,30,2022,785438,9734,217592,57267,117759,74327,179708,65526,14504,12004,738687,94.05,900481,567849,552842,15008,2.64,63.06,61.39
Nebraska,31,2022,1300094,18887,326031,99577,181139,149122,293346,110690,27097,19384,1206386,92.79,1519307,1058876,1034087,24789,2.34,69.69,68.06
Nevada,32,2022,2223852,71051,620161,176422,352879,193387,390872,144438,42724,23178,1944061,87.42,2532731,1549737,1466434,83303,5.38,61.19,57.9
New Hampshire,33,2022,1024780,11370,277802,61313,110755,95635,252073,131091,19969,20137,968775,94.53,1159452,766656,747406,19250,2.51,66.12,64.46
New Jersey,34,2022,6482223,123057,1635078,357416,629782,436335,1679895,834955,187268,119490,5880219,90.71,7420968,4739691,4565443,174249,3.68,63.87,61.52
New Mexico,35,2022,1453129,25139,374107,95454,234378,132292,246178,139286,26893,30240,1278828,88.01,1676424,947028,908920,38107,4.02,56.49,54.22
New York,36,2022,13892241,334899,3413879,704512,1312447,1223629,3097409,1774703,429744,254705,12211028,87.9,15967990,9616510,9207903,408607,4.25,60.22,57.66
North Carolina,37,2022,7372120,106820,1834892,479544,944254,742711,1678483,708100,139874,121542,6649400,90.2,8467545,5160544,4971519,189025,3.66,60.94,58.71
North Dakota,38,2022,514786,7151,131842,33740,80635,73150,115034,33321,9547,5939,483208,93.87,598591,414259,405586,8673,2.09,69.21,67.76
Ohio,39,2022,8130929,142040,2597720,574036,975584,712777,1578535,760014,157444,104386,7460496,91.75,9339327,5742446,5511703,230743,4.02,61.49,59.02
Oklahoma,40,2022,2661141,49878,813545,209763,377407,223641,495467,187067,44357,32026,2383273,89.56,3094170,1886451,1829503,56948,3.02,60.97,59.13
Oregon,41,2022,3043930,53631,690248,243718,477443,271686,675825,297339,77808,55267,2789334,91.64,3466172,2175683,2085652,90031,4.14,62.77,60.17
Pennsylvania,42,2022,9151744,154178,3019642,509440,884765,813094,1899494,940588,204829,164782,8436634,92.19,10490813,6476709,6195461,281249,4.34,61.74,59.06
Rhode Island,44,2022,778191,13302,192219,50748,90347,62473,185883,84304,22292,15933,704199,90.49,899721,569926,551619,18307,3.21,63.34,61.31
South Carolina,45,2022,3664922,68099,1015742,245183,491640,368850,725469,345957,68340,54737,3315918,90.48,4204317,2374845,2297826,77020,3.24,56.49,54.65
South Dakota,46,2022,605735,7045,177171,38483,77380,80011,131481,41868,9890,8078,564362,93.17,696215,475022,465218,9805,2.06,68.23,66.82
Tennessee,47,2022,4868110,86574,1523487,331376,648241,381534,958365,391150,92489,71956,4398598,90.36,5595306,3353448,3240306,113142,3.37,59.93,57.91
Texas,48,2022,19597383,404431,4733230,1297863,2673107,1519767,4242031,1779032,366285,264060,16875375,86.11,22962733,14658246,14089995,568252,3.88,63.83,61.36
Utah,49,2022,2042912,38007,449458,154959,317269,203542,505215,194392,39257,36185,1900277,93.02,2536616,1742378,1702108,40270,2.31,68.69,67.1
Vermont,50,2022,467643,5333,121782,22627,51560,41367,114633,65678,15182,11346,444175,94.98,541744,342094,333114,8980,2.62,63.15,61.49
Virginia,51,2022,5978782,88806,1431624,360707,706905,451737,1409942,818944,165133,128015,5473007,91.54,6839542,4433850,4308130,125721,2.84,64.83,62.99
Washington,53,2022,5470209,95516,1176424,398743,762268,544596,1302707,624627,129492,102857,5041714,92.17,6223442,3988039,3821581,166458,4.17,64.08,61.41
West Virginia,54,2022,1262566,18958,484166,81446,135471,111246,188793,88210,21126,14957,1125415,89.14,1435928,785070,754338,30732,3.91,54.67,52.53
Wisconsin,55,2022,4088500,65281,1209135,270280,528285,455882,885548,344375,72109,56389,3822003,93.48,4739794,3082512,2992147,90366,2.93,65.03,63.13
Wyoming,56,2022,399796,5112,109092,31521,68099,47844,71812,34361,5705,6288,374722,93.73,457895,291721,281332,10389,3.56,63.71,61.44
